log_id,user_id,action,action_id,server_response,current_period
1,09ffa5c3-e673-432e-99d3-1c8695ecedf1,первый заход на сайт,47ec284a-13ac-4037-b33f-4e21a6d80fa2,успех,2025-03-27 11:09:00
2,5fb8a0e4-0a58-48e7-818c-f83ae1c267d3,регистрация,8f7503c1-ad6c-41a9-a923-ade25fdebc8f,успех,2025-03-27 18:21:00
3,896d89e7-8a09-4c65-8d39-993edc87361e,логин,acce7fa4-0ec1-4812-a001-757386ec677a,успех,2025-03-27 15:43:00
4,50731cf2-5745-4fbc-a480-fe7113f1520c,логин,dbf9cf04-18f8-43d6-b2a8-3ef2fb479e97,успех,2025-03-27 19:41:00
5,ef11ca3d-3647-441f-bfab-4c56acb061bd,логаут,a466250d-fd72-4a55-a372-9a218a104a7c,успех,2025-03-27 05:26:00
6,0258aa08-c8a6-4102-80bc-25fea87a6101,создание темы,6b588c04-7c42-4a11-98db-a11c2d738a8c,успех,2025-03-27 08:20:00
7,09ffa5c3-e673-432e-99d3-1c8695ecedf1,создание темы,01339659-7f03-4162-8d46-45c7c221e491,успех,2025-03-27 17:16:00
8,09ffa5c3-e673-432e-99d3-1c8695ecedf1,создание темы,373ac66d-09d9-47aa-ad54-bc36e4ec3954,успех,2025-03-27 20:38:00
9,fcb0a6e6-c97f-4d59-8f19-35e2668951c6,создание темы,1f6217d8-f734-44d9-8249-33aaea670d74,успех,2025-03-27 04:59:00
10,,заход на тему,7bd2f2f6-b069-4a18-9c9b-e358361882bd,успех,2025-03-27 23:31:00
11,,заход на тему,d79cf83a-94c6-4cbc-b446-09540bc6b3f1,успех,2025-03-27 20:15:00
12,,заход на тему,8ee7debd-bd98-48e7-b7a5-941c6855c235,успех,2025-03-27 23:38:00
13,,заход на тему,39215511-9b14-4e34-9551-443dccbd120e,успех,2025-03-27 05:20:00
14,,заход на тему,34b965e6-f1ee-4b47-bae2-0d664ba3c1fd,успех,2025-03-27 14:50:00
15,,заход на тему,9e956039-a277-45aa-8309-504774a62336,успех,2025-03-27 17:01:00
16,,заход на тему,246dc5d7-8dd9-4e03-b4b0-229fb6eb6cd7,успех,2025-03-27 19:24:00
17,,удаление темы,10159448-0bc1-47d7-ac5e-ea5ad0616e5b,успех,2025-03-27 07:26:00
18,,удаление темы,e3745f84-8003-4ff9-a223-c2ccf1d93f02,успех,2025-03-27 14:22:00
19,,написание сообщения,eb7b28e0-39ad-4e4e-8910-384ce6336ec6,ошибка,2025-03-27 10:50:00
20,,написание сообщения,6c4d0297-cd22-417a-8019-bc2ff2f0b94d,ошибка,2025-03-27 21:34:00
21,,написание сообщения,89648001-40fa-496c-b564-63ef884e6ff8,ошибка,2025-03-27 03:23:00
22,896d89e7-8a09-4c65-8d39-993edc87361e,первый заход на сайт,8e237a9f-61e1-43d6-b73a-cc299df7349e,успех,2025-03-28 23:53:00
23,09ffa5c3-e673-432e-99d3-1c8695ecedf1,регистрация,72e5257f-4c60-428f-8fd1-5f0d400bdbf4,успех,2025-03-28 04:38:00
24,e2cfd331-bcc4-4ba5-b0fb-40e4a7e3b317,логин,f49e7d76-c712-427c-b52f-97fd43395cdf,успех,2025-03-28 04:40:00
25,50731cf2-5745-4fbc-a480-fe7113f1520c,логин,34075924-f072-4ba1-99ad-a768e876c199,успех,2025-03-28 03:35:00
26,d2ec4243-2256-4597-80cf-125c4319d66f,логин,42995edb-ec29-4fae-b6e8-ef6f0d3a042a,успех,2025-03-28 01:11:00
27,e2cfd331-bcc4-4ba5-b0fb-40e4a7e3b317,логин,c4850365-c1ee-427b-8d3f-199829b4f235,успех,2025-03-28 19:57:00
28,896d89e7-8a09-4c65-8d39-993edc87361e,логин,d619c472-6ba4-425d-bf07-b512b2530efe,успех,2025-03-28 00:20:00
29,0258aa08-c8a6-4102-80bc-25fea87a6101,логаут,7e9b66d8-a0f1-42d6-83ec-6c8c81b9f7fb,успех,2025-03-28 06:02:00
30,50731cf2-5745-4fbc-a480-fe7113f1520c,логаут,ad63df41-9cec-4276-acb5-d722361ca63d,успех,2025-03-28 04:46:00
31,66e19318-5480-405e-b259-077b6439681d,логаут,dac2d13f-558c-4a63-8b33-153728d52bc1,успех,2025-03-28 01:05:00
32,fcb0a6e6-c97f-4d59-8f19-35e2668951c6,логаут,0b4fc9d3-84a1-4cf2-b498-d27fd0819ecb,успех,2025-03-28 10:42:00
33,dcd0de93-5441-41f0-b7c2-601414e4d197,логаут,eb5c6dda-c6fb-4fcc-be90-975eb6cc5464,успех,2025-03-28 13:25:00
34,50731cf2-5745-4fbc-a480-fe7113f1520c,создание темы,9ffef796-500f-4cb6-ad10-9b4850d6bc7b,успех,2025-03-28 02:09:00
35,896d89e7-8a09-4c65-8d39-993edc87361e,создание темы,3662d8ae-d6e8-4551-8733-a501d736f66b,успех,2025-03-28 19:55:00
36,896d89e7-8a09-4c65-8d39-993edc87361e,создание темы,203a8594-9fe5-40b2-8134-2b697d391008,успех,2025-03-28 05:06:00
37,28bb5788-c19a-45c1-9d48-ed101e54ddac,создание темы,d603c1a4-42ad-4d93-81f4-557e086d922c,успех,2025-03-28 20:45:00
38,fcb0a6e6-c97f-4d59-8f19-35e2668951c6,создание темы,fe216f12-0c2a-42f0-9425-759ddbb7b113,успех,2025-03-28 08:45:00
39,,заход на тему,291d8a52-1212-450e-bb25-81a117e75933,успех,2025-03-28 00:04:00
40,,заход на тему,b11bcec7-9870-44fe-9602-45f83626b2f4,успех,2025-03-28 10:32:00
41,,заход на тему,ddae6b8b-d1c8-4f73-a29a-3128ad8bf1b3,успех,2025-03-28 05:15:00
42,,заход на тему,4c423872-c86f-445e-8872-5c29bd13649e,успех,2025-03-28 17:31:00
43,,заход на тему,eb5fef14-7066-4d79-9a6c-ae00177b47a3,успех,2025-03-28 12:44:00
44,,заход на тему,8234e084-93c5-4bbc-b12b-bcafafa52ab2,успех,2025-03-28 11:42:00
45,,заход на тему,28f381c9-9947-4db7-b9db-6364006841ea,успех,2025-03-28 01:24:00
46,,заход на тему,48806c92-a826-4b99-833a-730f37d87578,успех,2025-03-28 22:37:00
47,,удаление темы,ab97809a-1eec-4d10-b2a5-197004aed6af,успех,2025-03-28 04:37:00
48,,удаление темы,396db8c1-e5a6-453a-b17f-ef892758b68c,успех,2025-03-28 01:19:00
49,fda5e13d-0f99-472f-99af-8a901bfc45ac,написание сообщения,757a37bf-03e5-49e3-bcf3-c04f043a46b8,успех,2025-03-28 07:25:00
50,d2ec4243-2256-4597-80cf-125c4319d66f,написание сообщения,811f620a-2a70-48ef-9e7e-251a9ca73979,успех,2025-03-28 13:57:00
51,e2cfd331-bcc4-4ba5-b0fb-40e4a7e3b317,написание сообщения,15d3a328-9b3f-4ea5-a999-5d30de7b80ae,успех,2025-03-28 15:44:00
52,,написание сообщения,4c1b6094-1879-410e-b000-7c8688fb397b,ошибка,2025-03-28 00:00:00
53,896d89e7-8a09-4c65-8d39-993edc87361e,первый заход на сайт,6c6a17ff-4fd6-4b87-be1e-1d1734374fae,успех,2025-03-29 14:47:00
54,43a0434a-6c4a-4fc9-a8b8-ca5be09e01cc,регистрация,6031aede-a969-4dae-bfdf-ef53fa26e752,успех,2025-03-29 08:35:00
55,0258aa08-c8a6-4102-80bc-25fea87a6101,логин,f8a49c16-10d3-4d16-a379-811320a0f55b,успех,2025-03-29 17:47:00
56,e2cfd331-bcc4-4ba5-b0fb-40e4a7e3b317,логаут,bc1ab9fd-0a81-4f17-9ac5-6de640320ed9,успех,2025-03-29 11:51:00
57,43a0434a-6c4a-4fc9-a8b8-ca5be09e01cc,логаут,3f4213a8-c36c-4e25-8fa6-a02ce7187c22,успех,2025-03-29 09:31:00
58,43a0434a-6c4a-4fc9-a8b8-ca5be09e01cc,создание темы,dfa88dbd-6b0b-47a7-bf96-54ea010599fc,успех,2025-03-29 00:51:00
59,5fb8a0e4-0a58-48e7-818c-f83ae1c267d3,создание темы,4e73a261-09cc-4d2c-9287-734dff4ad993,успех,2025-03-29 16:28:00
60,e178b7c2-0e5a-4b0e-a7ad-afc1badc91f8,создание темы,d2d7a683-77e3-465d-9827-cb86a0932b33,успех,2025-03-29 06:13:00
61,5fb8a0e4-0a58-48e7-818c-f83ae1c267d3,создание темы,736cc6ca-cb53-41a0-b9b0-fe2db67e2f83,успех,2025-03-29 03:43:00
62,,заход на тему,91371cb0-b85b-45dd-bdb7-c1c0acfb3f73,успех,2025-03-29 20:30:00
63,,заход на тему,96bff0b4-83f8-4b6c-ae3c-ef0e34428127,успех,2025-03-29 20:14:00
64,,заход на тему,29f04310-997e-456c-833e-6ca67e58b956,успех,2025-03-29 17:49:00
65,,заход на тему,443f8219-57fe-4a61-9e0b-45d77bb8f21b,успех,2025-03-29 02:34:00
66,,заход на тему,c605895c-ae76-43cc-b772-1cdf8c211d1f,успех,2025-03-29 03:51:00
67,,заход на тему,9ced3217-e134-457d-87ae-0d7b7afc8c53,успех,2025-03-29 14:41:00
68,,заход на тему,ca877a11-3f33-4854-b214-aed12f3ddcb1,успех,2025-03-29 02:41:00
69,,заход на тему,4e78e8a2-c5b6-4747-a740-2cb685d9a77a,успех,2025-03-29 23:31:00
70,,удаление темы,b9f74618-fe78-41b1-a77d-b1e0fde02235,успех,2025-03-29 13:11:00
71,,удаление темы,069e398f-e5b3-4b9b-92e7-ba066ec2b187,успех,2025-03-29 22:19:00
72,,удаление темы,1587a80a-2548-4154-8042-c55fe32e7fa7,успех,2025-03-29 03:46:00
73,,написание сообщения,249d2e79-3513-433f-a37e-f7577d5bdc5d,ошибка,2025-03-29 01:46:00
74,,написание сообщения,6de8fca0-ee5d-4ce0-94da-28503a17d6ea,ошибка,2025-03-29 22:20:00
75,,написание сообщения,9a5b63e1-6fa8-42ee-aa70-f25cfc7f93ec,ошибка,2025-03-29 08:13:00
76,,написание сообщения,ad8a11a0-2200-47b3-a224-36e020ade4f3,ошибка,2025-03-29 15:08:00
77,1fd0ff14-1b8b-48f6-a40b-b9257057322b,написание сообщения,90453f00-3cd2-49ad-9158-9b9140dabfdd,успех,2025-03-29 03:37:00
78,8621f3ca-b880-4ff6-90be-4f452da51eca,первый заход на сайт,59fc3602-14d1-4ceb-8567-25f235ded7b9,успех,2025-03-30 05:04:00
79,896d89e7-8a09-4c65-8d39-993edc87361e,регистрация,24b7b6e4-dde5-46f8-947b-652d89557f8f,успех,2025-03-30 15:19:00
80,dcd0de93-5441-41f0-b7c2-601414e4d197,логин,ea92b251-33aa-46d1-9212-d6ab3ada9b25,успех,2025-03-30 06:26:00
81,e178b7c2-0e5a-4b0e-a7ad-afc1badc91f8,логаут,a92c8c4c-f419-43e8-ab1f-f557c41528df,успех,2025-03-30 22:45:00
82,b7efcb0a-3847-4745-a9a5-a669bd21fd2a,логаут,c122d8ee-f1cd-4ec8-b933-a8f5ad8c37ab,успех,2025-03-30 19:47:00
83,5fb8a0e4-0a58-48e7-818c-f83ae1c267d3,логаут,b4314fb7-5e42-4f0d-8070-c873f30fd7f7,успех,2025-03-30 07:42:00
84,896d89e7-8a09-4c65-8d39-993edc87361e,логаут,9f9c5ec1-0488-4a40-94cc-bb8ac2eef77a,успех,2025-03-30 14:50:00
85,1fd0ff14-1b8b-48f6-a40b-b9257057322b,логаут,e107546f-525c-472a-8149-7994a9afa522,успех,2025-03-30 06:20:00
86,e178b7c2-0e5a-4b0e-a7ad-afc1badc91f8,создание темы,b8ddcfa1-df6b-4895-91a4-ffbfb10f610e,успех,2025-03-30 00:04:00
87,5fb8a0e4-0a58-48e7-818c-f83ae1c267d3,создание темы,d6dc7495-08c9-4658-9921-974806958737,успех,2025-03-30 08:46:00
88,,заход на тему,8d61c397-4026-49f1-9906-f26f05a66b5f,успех,2025-03-30 10:53:00
89,,заход на тему,5b9394e7-45c5-4582-9755-fac25b49bfb4,успех,2025-03-30 19:14:00
90,,заход на тему,511b3d39-37f6-4d90-afa2-0a473c639c6b,успех,2025-03-30 08:52:00
91,,заход на тему,0957898c-15ab-4528-a3f4-c2d339491be8,успех,2025-03-30 18:10:00
92,,заход на тему,2e0c2eb8-06d9-432d-bfa1-4df5e1779e44,успех,2025-03-30 04:47:00
93,,удаление темы,91ce1703-0ca3-4f0f-a940-2a311a6d5f23,успех,2025-03-30 18:55:00
94,,удаление темы,3c6fb701-03f9-4a55-8c1a-b16fc1043576,успех,2025-03-30 23:36:00
95,,написание сообщения,a9f486e7-4ec1-42c2-8753-35fd37c2d757,ошибка,2025-03-30 20:28:00
96,,написание сообщения,9721ad5e-8b32-4fc1-b527-1358e9087184,ошибка,2025-03-30 06:25:00
97,,написание сообщения,804aaaec-afbe-4bdd-af51-c7146865e58e,ошибка,2025-03-30 04:31:00
98,fcb0a6e6-c97f-4d59-8f19-35e2668951c6,первый заход на сайт,9512d3ce-84f8-48ff-bdd6-06425f4b5ab8,успех,2025-03-31 10:31:00
99,b7efcb0a-3847-4745-a9a5-a669bd21fd2a,регистрация,0438a20f-b648-458e-b9bb-3807896e7a67,успех,2025-03-31 16:28:00
100,43a0434a-6c4a-4fc9-a8b8-ca5be09e01cc,логин,ad713622-f537-45f3-8ed7-a5b1d2c3f20a,успех,2025-03-31 12:49:00
101,dcd0de93-5441-41f0-b7c2-601414e4d197,логаут,71af33c5-e2f8-4c7d-aec5-2738ed6c9761,успех,2025-03-31 22:20:00
102,1fd0ff14-1b8b-48f6-a40b-b9257057322b,логаут,bdc2e1f4-2f6d-447f-be38-165aea5c58b3,успех,2025-03-31 17:36:00
103,66e19318-5480-405e-b259-077b6439681d,логаут,74427b33-0f08-4822-af3b-e2da67020703,успех,2025-03-31 08:40:00
104,fcb0a6e6-c97f-4d59-8f19-35e2668951c6,логаут,f14f1acd-a4c3-4e04-91e5-3168abaa6d80,успех,2025-03-31 12:15:00
105,ef11ca3d-3647-441f-bfab-4c56acb061bd,создание темы,646f49c0-5ab2-492c-b3ea-2d5c16d758a2,успех,2025-03-31 12:44:00
106,43a0434a-6c4a-4fc9-a8b8-ca5be09e01cc,создание темы,94709d5f-c790-4e86-a0dd-4fc5becd7b7d,успех,2025-03-31 05:33:00
107,b7efcb0a-3847-4745-a9a5-a669bd21fd2a,создание темы,ef9133d7-f99b-4101-859b-86814a1b9601,успех,2025-03-31 05:38:00
108,,заход на тему,64810ae9-1859-42fb-8f4d-92f0f2e92727,успех,2025-03-31 09:38:00
